timestamp	status	layer	repo	ecosystems	direct	transitive	method
2026-04-07T11:33:56Z	success	data_pipelines	minio/minio	go	259	599	go:go_list_m_all
2026-04-07T11:34:54Z	success	data_pipelines	apache/kafka	python,gradle	182	510	python:uv_pip_compile;gradle:gradle_direct+gradle_dependencies
2026-04-07T11:34:54Z	success	data_pipelines	apache/airflow	python	2	117	python:uv_pip_compile
2026-04-07T11:35:02Z	success	data_pipelines	apache/spark	python,maven	11	556	python:uv_pip_compile;maven:mvn_tree
2026-04-07T11:35:02Z	success	data_pipelines	HumanSignal/label-studio	python	58	153	python:uv_pip_compile
2026-04-07T11:35:03Z	success	data_pipelines	great-expectations/great_expectations	python	20	34	python:uv_pip_compile
2026-04-07T11:35:03Z	success	data_pipelines	iterative/dvc	python	42	100	python:uv_pip_compile
2026-04-07T11:35:04Z	success	data_pipelines	UKPLab/sentence-transformers	python	8	57	python:uv_pip_compile
2026-04-07T11:35:04Z	success	data_pipelines	milvus-io/milvus	go	300	813	go:go_list_m_all
2026-04-07T11:35:06Z	success	training	kubeflow/pipelines	python,go	240	776	python:uv_pip_compile;go:go_list_m_all
2026-04-07T11:35:06Z	success	training	SchedMD/slurm	cpp	23	-1	cpp:none+configure.ac
2026-04-07T11:35:07Z	success	training	NVIDIA/nvidia-container-toolkit	go	41	94	go:go_list_m_all_readonly
2026-04-07T11:35:08Z	success	training	NVIDIA/cuda-python	python	3	2	python:uv_pip_compile
2026-04-07T11:35:08Z	success	training	NVIDIA/nccl	python,cpp	7	4	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T11:35:09Z	success	training	pytorch/pytorch	python,cpp	41	9	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T11:35:09Z	success	training	microsoft/DeepSpeed	python	0	42	python:uv_pip_compile
2026-04-07T11:35:09Z	success	training	NVIDIA/Megatron-LM	python	3	31	python:uv_pip_compile
2026-04-07T11:35:10Z	success	training	huggingface/tokenizers	python	1	22	python:uv_pip_compile
2026-04-07T11:35:11Z	success	training	huggingface/datasets	python	0	41	python:uv_pip_compile
2026-04-07T11:35:11Z	success	training	huggingface/peft	python	16	55	python:uv_pip_compile
2026-04-07T11:35:12Z	success	training	huggingface/trl	python	4	74	python:uv_pip_compile
2026-04-07T11:35:12Z	success	training	EleutherAI/lm-evaluation-harness	python	15	73	python:uv_pip_compile
2026-04-07T11:35:12Z	success	training	arcee-ai/mergekit	python	16	82	python:uv_pip_compile
2026-04-07T11:35:13Z	success	training	mlflow/mlflow	python	36	78	python:uv_pip_compile
2026-04-07T11:35:13Z	success	training	huggingface/huggingface_hub	python	5	21	python:uv_pip_compile
2026-04-07T11:35:13Z	success	training	huggingface/transformers	python	1	26	python:uv_pip_compile
2026-04-07T11:35:14Z	success	integration_serving	onnx/onnx	python,cpp	23	4	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T11:35:14Z	success	integration_serving	mit-han-lab/llm-awq	python	16	151	python:uv_pip_compile
2026-04-07T11:35:19Z	success	integration_serving	vllm-project/vllm	python,cpp	58	158	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T11:35:22Z	success	integration_serving	NVIDIA/TensorRT-LLM	python	81	187	python:uv_pip_compile
2026-04-07T11:35:24Z	success	integration_serving	triton-inference-server/server	python,cpp	0	-1	none
2026-04-07T11:35:25Z	success	integration_serving	microsoft/onnxruntime	python	12	4	python:uv_pip_compile
2026-04-07T11:35:25Z	success	integration_serving	ray-project/ray	python,cpp	0	-1	none
2026-04-07T11:35:27Z	success	integration_serving	envoyproxy/envoy	python,go,rust,cpp	12	359	python:uv_pip_compile;go:go_list_m_all;rust:cargo_metadata
2026-04-07T11:35:31Z	success	integration_serving	langchain-ai/langchain	python	80	152	python:uv_pip_compile
2026-04-07T11:35:34Z	success	integration_serving	microsoft/promptflow	python	0	216	python:uv_pip_compile
2026-04-07T11:35:34Z	success	integration_serving	guardrails-ai/guardrails	python	27	98	python:uv_pip_compile
2026-04-07T11:35:34Z	success	cross_cutting	kubernetes/kubernetes	go	202	257	go:go_list_m_all_readonly
2026-04-07T11:35:35Z	success	cross_cutting	containerd/containerd	go	155	314	go:go_list_m_all_readonly
2026-04-07T11:35:35Z	success	cross_cutting	hashicorp/terraform	go	272	563	go:go_list_m_all
2026-04-07T11:35:35Z	success	cross_cutting	argoproj/argo-cd	go	308	699	go:go_list_m_all
2026-04-07T11:35:36Z	success	cross_cutting	argoproj/argo-workflows	go	362	805	go:go_list_m_all
2026-04-07T11:35:36Z	success	cross_cutting	prometheus/prometheus	go	251	533	go:go_list_m_all
2026-04-07T11:35:37Z	success	cross_cutting	grafana/grafana	go,npm	1011	1527	go:go_list_m_all;npm:npm_ls
2026-04-07T11:35:38Z	success	cross_cutting	open-telemetry/opentelemetry-collector	go	12	51	go:go_list_m_all
2026-04-07T11:35:38Z	success	cross_cutting	grafana/loki	go	448	1061	go:go_list_m_all_readonly
2026-04-07T16:31:25Z	cached	data_pipelines	minio/minio	go	259	599	go:go_list_m_all
2026-04-07T16:31:25Z	cached	data_pipelines	apache/kafka	python,gradle	182	510	python:uv_pip_compile;gradle:gradle_direct+gradle_dependencies
2026-04-07T16:31:25Z	cached	data_pipelines	apache/airflow	python	2	117	python:uv_pip_compile
2026-04-07T16:31:25Z	cached	data_pipelines	apache/spark	python,maven	11	556	python:uv_pip_compile;maven:mvn_tree
2026-04-07T16:31:25Z	cached	data_pipelines	HumanSignal/label-studio	python	58	153	python:uv_pip_compile
2026-04-07T16:31:25Z	cached	data_pipelines	great-expectations/great_expectations	python	20	34	python:uv_pip_compile
2026-04-07T16:31:25Z	cached	data_pipelines	iterative/dvc	python	42	100	python:uv_pip_compile
2026-04-07T16:31:25Z	cached	data_pipelines	UKPLab/sentence-transformers	python	8	57	python:uv_pip_compile
2026-04-07T16:31:25Z	cached	data_pipelines	milvus-io/milvus	go	300	813	go:go_list_m_all
2026-04-07T16:31:25Z	cached	training	kubeflow/pipelines	python,go	240	776	python:uv_pip_compile;go:go_list_m_all
2026-04-07T16:31:25Z	cached	training	SchedMD/slurm	cpp	23	-1	cpp:none+configure.ac
2026-04-07T16:31:25Z	cached	training	NVIDIA/nvidia-container-toolkit	go	41	94	go:go_list_m_all_readonly
2026-04-07T16:31:25Z	cached	training	NVIDIA/cuda-python	python	3	2	python:uv_pip_compile
2026-04-07T16:31:25Z	cached	training	NVIDIA/nccl	python,cpp	7	4	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T16:31:25Z	cached	training	pytorch/pytorch	python,cpp	41	9	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T16:31:26Z	cached	training	microsoft/DeepSpeed	python	0	42	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	training	NVIDIA/Megatron-LM	python	3	31	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	training	huggingface/tokenizers	python	1	22	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	training	huggingface/datasets	python	0	41	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	training	huggingface/peft	python	16	55	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	training	huggingface/trl	python	4	74	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	training	EleutherAI/lm-evaluation-harness	python	15	73	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	training	arcee-ai/mergekit	python	16	82	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	training	mlflow/mlflow	python	36	78	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	training	huggingface/huggingface_hub	python	5	21	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	training	huggingface/transformers	python	1	26	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	integration_serving	onnx/onnx	python,cpp	23	4	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T16:31:26Z	cached	integration_serving	mit-han-lab/llm-awq	python	16	151	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	integration_serving	vllm-project/vllm	python,cpp	58	158	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T16:31:26Z	cached	integration_serving	NVIDIA/TensorRT-LLM	python	81	187	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	integration_serving	triton-inference-server/server	python,cpp	0	-1	none
2026-04-07T16:31:26Z	cached	integration_serving	microsoft/onnxruntime	python	12	4	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	integration_serving	ray-project/ray	python,cpp	0	-1	none
2026-04-07T16:31:26Z	cached	integration_serving	envoyproxy/envoy	python,go,rust,cpp	12	359	python:uv_pip_compile;go:go_list_m_all;rust:cargo_metadata
2026-04-07T16:31:26Z	cached	integration_serving	langchain-ai/langchain	python	80	152	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	integration_serving	microsoft/promptflow	python	0	216	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	integration_serving	guardrails-ai/guardrails	python	27	98	python:uv_pip_compile
2026-04-07T16:31:26Z	cached	cross_cutting	kubernetes/kubernetes	go	202	257	go:go_list_m_all_readonly
2026-04-07T16:31:26Z	cached	cross_cutting	containerd/containerd	go	155	314	go:go_list_m_all_readonly
2026-04-07T16:31:26Z	cached	cross_cutting	hashicorp/terraform	go	272	563	go:go_list_m_all
2026-04-07T16:31:26Z	cached	cross_cutting	argoproj/argo-cd	go	308	699	go:go_list_m_all
2026-04-07T16:31:26Z	cached	cross_cutting	argoproj/argo-workflows	go	362	805	go:go_list_m_all
2026-04-07T16:31:26Z	cached	cross_cutting	prometheus/prometheus	go	251	533	go:go_list_m_all
2026-04-07T16:31:27Z	cached	cross_cutting	grafana/grafana	go,npm	1011	1527	go:go_list_m_all;npm:npm_ls
2026-04-07T16:31:27Z	cached	cross_cutting	open-telemetry/opentelemetry-collector	go	12	51	go:go_list_m_all
2026-04-07T16:31:27Z	cached	cross_cutting	grafana/loki	go	448	1061	go:go_list_m_all_readonly
2026-04-07T16:31:27Z	success	cross_cutting	torvalds/linux		0	-1	none
2026-04-07T16:31:27Z	success	cross_cutting	NVIDIA/open-gpu-kernel-modules		0	-1	none
2026-04-07T16:31:42Z	cached	data_pipelines	minio/minio	go	259	599	go:go_list_m_all
2026-04-07T16:31:42Z	cached	data_pipelines	apache/kafka	python,gradle	182	510	python:uv_pip_compile;gradle:gradle_direct+gradle_dependencies
2026-04-07T16:31:42Z	cached	data_pipelines	apache/airflow	python	2	117	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	data_pipelines	apache/spark	python,maven	11	556	python:uv_pip_compile;maven:mvn_tree
2026-04-07T16:31:43Z	cached	data_pipelines	HumanSignal/label-studio	python	58	153	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	data_pipelines	great-expectations/great_expectations	python	20	34	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	data_pipelines	iterative/dvc	python	42	100	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	data_pipelines	UKPLab/sentence-transformers	python	8	57	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	data_pipelines	milvus-io/milvus	go	300	813	go:go_list_m_all
2026-04-07T16:31:43Z	cached	training	kubeflow/pipelines	python,go	240	776	python:uv_pip_compile;go:go_list_m_all
2026-04-07T16:31:43Z	cached	training	SchedMD/slurm	cpp	23	-1	cpp:none+configure.ac
2026-04-07T16:31:43Z	cached	training	NVIDIA/nvidia-container-toolkit	go	41	94	go:go_list_m_all_readonly
2026-04-07T16:31:43Z	cached	training	NVIDIA/cuda-python	python	3	2	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	training	NVIDIA/nccl	python,cpp	7	4	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T16:31:43Z	cached	training	pytorch/pytorch	python,cpp	41	9	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T16:31:43Z	cached	training	microsoft/DeepSpeed	python	0	42	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	training	NVIDIA/Megatron-LM	python	3	31	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	training	huggingface/tokenizers	python	1	22	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	training	huggingface/datasets	python	0	41	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	training	huggingface/peft	python	16	55	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	training	huggingface/trl	python	4	74	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	training	EleutherAI/lm-evaluation-harness	python	15	73	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	training	arcee-ai/mergekit	python	16	82	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	training	mlflow/mlflow	python	36	78	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	training	huggingface/huggingface_hub	python	5	21	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	training	huggingface/transformers	python	1	26	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	integration_serving	onnx/onnx	python,cpp	23	4	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T16:31:43Z	cached	integration_serving	mit-han-lab/llm-awq	python	16	151	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	integration_serving	vllm-project/vllm	python,cpp	58	158	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T16:31:43Z	cached	integration_serving	NVIDIA/TensorRT-LLM	python	81	187	python:uv_pip_compile
2026-04-07T16:31:43Z	cached	integration_serving	triton-inference-server/server	python,cpp	0	-1	none
2026-04-07T16:31:43Z	cached	integration_serving	microsoft/onnxruntime	python	12	4	python:uv_pip_compile
2026-04-07T16:31:44Z	cached	integration_serving	ray-project/ray	python,cpp	0	-1	none
2026-04-07T16:31:44Z	cached	integration_serving	envoyproxy/envoy	python,go,rust,cpp	12	359	python:uv_pip_compile;go:go_list_m_all;rust:cargo_metadata
2026-04-07T16:31:44Z	cached	integration_serving	langchain-ai/langchain	python	80	152	python:uv_pip_compile
2026-04-07T16:31:44Z	cached	integration_serving	microsoft/promptflow	python	0	216	python:uv_pip_compile
2026-04-07T16:31:44Z	cached	integration_serving	guardrails-ai/guardrails	python	27	98	python:uv_pip_compile
2026-04-07T16:31:44Z	cached	cross_cutting	kubernetes/kubernetes	go	202	257	go:go_list_m_all_readonly
2026-04-07T16:31:44Z	cached	cross_cutting	containerd/containerd	go	155	314	go:go_list_m_all_readonly
2026-04-07T16:31:44Z	cached	cross_cutting	hashicorp/terraform	go	272	563	go:go_list_m_all
2026-04-07T16:31:44Z	cached	cross_cutting	argoproj/argo-cd	go	308	699	go:go_list_m_all
2026-04-07T16:31:44Z	cached	cross_cutting	argoproj/argo-workflows	go	362	805	go:go_list_m_all
2026-04-07T16:31:44Z	cached	cross_cutting	prometheus/prometheus	go	251	533	go:go_list_m_all
2026-04-07T16:31:44Z	cached	cross_cutting	grafana/grafana	go,npm	1011	1527	go:go_list_m_all;npm:npm_ls
2026-04-07T16:31:44Z	cached	cross_cutting	open-telemetry/opentelemetry-collector	go	12	51	go:go_list_m_all
2026-04-07T16:31:44Z	cached	cross_cutting	grafana/loki	go	448	1061	go:go_list_m_all_readonly
2026-04-07T16:31:44Z	cached	cross_cutting	torvalds/linux		0	-1	none
2026-04-07T16:31:44Z	cached	cross_cutting	NVIDIA/open-gpu-kernel-modules		0	-1	none
