timestamp	status	layer	repo	code_lines	files	cocomo_musd	reason
2026-04-07T08:54:48Z	success	data_pipelines	minio/minio	253418	1042	0	
2026-04-07T08:54:48Z	success	data_pipelines	apache/kafka	1199497	7021	0	
2026-04-07T08:54:48Z	success	data_pipelines	apache/airflow	1466016	11143	0	
2026-04-07T08:54:49Z	success	data_pipelines	apache/spark	2127481	12120	0	
2026-04-07T08:54:49Z	success	data_pipelines	HumanSignal/label-studio	529358	4201	0	
2026-04-07T08:54:50Z	success	data_pipelines	great-expectations/great_expectations	1184519	3368	0	
2026-04-07T08:54:50Z	success	data_pipelines	iterative/dvc	71413	578	0	
2026-04-07T08:54:50Z	success	data_pipelines	UKPLab/sentence-transformers	74362	535	0	
2026-04-07T08:54:50Z	success	data_pipelines	milvus-io/milvus	1174532	4722	0	
2026-04-07T08:54:51Z	success	training	kubeflow/pipelines	1852613	3667	0	
2026-04-07T08:54:51Z	success	training	SchedMD/slurm	931255	2395	0	
2026-04-07T08:54:51Z	success	training	NVIDIA/nvidia-container-toolkit	347317	2398	0	
2026-04-07T08:54:51Z	success	training	NVIDIA/cuda-python	255441	625	0	
2026-04-07T08:54:52Z	success	training	NVIDIA/nccl	119237	613	0	
2026-04-07T08:54:52Z	success	training	pytorch/pytorch	3241577	11351	0	
2026-04-07T08:54:52Z	success	training	microsoft/DeepSpeed	232327	1552	0	
2026-04-07T08:54:53Z	success	training	NVIDIA/Megatron-LM	799360	2310	0	
2026-04-07T08:54:53Z	success	training	huggingface/tokenizers	49435	321	0	
2026-04-07T08:54:53Z	success	training	huggingface/datasets	79446	319	0	
2026-04-07T08:54:53Z	success	training	huggingface/peft	263971	708	0	
2026-04-07T08:54:53Z	success	training	huggingface/trl	90191	395	0	
2026-04-07T08:54:54Z	success	training	EleutherAI/lm-evaluation-harness	233505	14799	0	
2026-04-07T08:54:54Z	success	training	arcee-ai/mergekit	20005	177	0	
2026-04-07T08:54:54Z	success	training	mlflow/mlflow	1173870	5747	0	
2026-04-07T08:54:55Z	success	training	huggingface/huggingface_hub	102722	461	0	
2026-04-07T08:54:55Z	success	training	huggingface/transformers	1157037	5258	0	
2026-04-07T08:54:55Z	success	integration_serving	onnx/onnx	240211	890	0	
2026-04-07T08:54:55Z	success	integration_serving	mit-han-lab/llm-awq	21748	131	0	
2026-04-07T08:54:56Z	success	integration_serving	vllm-project/vllm	904487	4261	0	
2026-04-07T08:54:56Z	success	integration_serving	NVIDIA/TensorRT-LLM	1332666	9771	0	
2026-04-07T08:54:56Z	success	integration_serving	triton-inference-server/server	153797	862	0	
2026-04-07T08:54:57Z	success	integration_serving	microsoft/onnxruntime	4041209	8388	0	
2026-04-07T08:54:57Z	success	integration_serving	ray-project/ray	1402163	8912	0	
2026-04-07T08:54:57Z	success	integration_serving	envoyproxy/envoy	1423263	9788	0	
2026-04-07T08:54:58Z	success	integration_serving	langchain-ai/langchain	272703	2681	0	
2026-04-07T08:54:58Z	success	integration_serving	microsoft/promptflow	2689858	3245	0	
2026-04-07T08:54:58Z	success	integration_serving	guardrails-ai/guardrails	72157	525	0	
2026-04-07T08:54:59Z	success	cross_cutting	kubernetes/kubernetes	4165826	21702	0	
2026-04-07T08:54:59Z	success	cross_cutting	containerd/containerd	753249	5643	0	
2026-04-07T08:54:59Z	success	cross_cutting	hashicorp/terraform	553421	4547	0	
2026-04-07T08:55:00Z	success	cross_cutting	argoproj/argo-cd	537173	4503	0	
2026-04-07T08:55:00Z	success	cross_cutting	argoproj/argo-workflows	268065	2604	0	
2026-04-07T08:55:00Z	success	cross_cutting	prometheus/prometheus	353597	1155	0	
2026-04-07T08:55:01Z	success	cross_cutting	grafana/grafana	3488015	19553	0	
2026-04-07T08:55:01Z	success	cross_cutting	open-telemetry/opentelemetry-collector	146322	1762	0	
2026-04-07T08:55:02Z	success	cross_cutting	grafana/loki	7554716	14734	0	
2026-04-07T11:30:56Z	cached	data_pipelines	minio/minio	253418	1042	0	
2026-04-07T11:30:56Z	cached	data_pipelines	apache/kafka	1199497	7021	0	
2026-04-07T11:30:56Z	cached	data_pipelines	apache/airflow	1466016	11143	0	
2026-04-07T11:30:56Z	cached	data_pipelines	apache/spark	2127481	12120	0	
2026-04-07T11:30:56Z	cached	data_pipelines	HumanSignal/label-studio	529358	4201	0	
2026-04-07T11:30:57Z	cached	data_pipelines	great-expectations/great_expectations	1184519	3368	0	
2026-04-07T11:30:57Z	cached	data_pipelines	iterative/dvc	71413	578	0	
2026-04-07T11:30:57Z	cached	data_pipelines	UKPLab/sentence-transformers	74362	535	0	
2026-04-07T11:30:57Z	cached	data_pipelines	milvus-io/milvus	1174532	4722	0	
2026-04-07T11:30:57Z	cached	training	kubeflow/pipelines	1852613	3667	0	
2026-04-07T11:30:57Z	cached	training	SchedMD/slurm	931255	2395	0	
2026-04-07T11:30:57Z	cached	training	NVIDIA/nvidia-container-toolkit	347317	2398	0	
2026-04-07T11:30:57Z	cached	training	NVIDIA/cuda-python	255441	625	0	
2026-04-07T11:30:57Z	cached	training	NVIDIA/nccl	119237	613	0	
2026-04-07T11:30:57Z	cached	training	pytorch/pytorch	3241577	11351	0	
2026-04-07T11:30:57Z	cached	training	microsoft/DeepSpeed	232327	1552	0	
2026-04-07T11:30:57Z	cached	training	NVIDIA/Megatron-LM	799360	2310	0	
2026-04-07T11:30:57Z	cached	training	huggingface/tokenizers	49435	321	0	
2026-04-07T11:30:57Z	cached	training	huggingface/datasets	79446	319	0	
2026-04-07T11:30:57Z	cached	training	huggingface/peft	263971	708	0	
2026-04-07T11:30:58Z	cached	training	huggingface/trl	90191	395	0	
2026-04-07T11:30:58Z	cached	training	EleutherAI/lm-evaluation-harness	233505	14799	0	
2026-04-07T11:30:58Z	cached	training	arcee-ai/mergekit	20005	177	0	
2026-04-07T11:30:58Z	cached	training	mlflow/mlflow	1173870	5747	0	
2026-04-07T11:30:58Z	cached	training	huggingface/huggingface_hub	102722	461	0	
2026-04-07T11:30:58Z	cached	training	huggingface/transformers	1157037	5258	0	
2026-04-07T11:30:58Z	cached	integration_serving	onnx/onnx	240211	890	0	
2026-04-07T11:30:58Z	cached	integration_serving	mit-han-lab/llm-awq	21748	131	0	
2026-04-07T11:30:58Z	cached	integration_serving	vllm-project/vllm	904487	4261	0	
2026-04-07T11:30:58Z	cached	integration_serving	NVIDIA/TensorRT-LLM	1332666	9771	0	
2026-04-07T11:30:58Z	cached	integration_serving	triton-inference-server/server	153797	862	0	
2026-04-07T11:30:58Z	cached	integration_serving	microsoft/onnxruntime	4041209	8388	0	
2026-04-07T11:30:58Z	cached	integration_serving	ray-project/ray	1402163	8912	0	
2026-04-07T11:30:58Z	cached	integration_serving	envoyproxy/envoy	1423263	9788	0	
2026-04-07T11:30:58Z	cached	integration_serving	langchain-ai/langchain	272703	2681	0	
2026-04-07T11:30:59Z	cached	integration_serving	microsoft/promptflow	2689858	3245	0	
2026-04-07T11:30:59Z	cached	integration_serving	guardrails-ai/guardrails	72157	525	0	
2026-04-07T11:30:59Z	cached	cross_cutting	kubernetes/kubernetes	4165826	21702	0	
2026-04-07T11:30:59Z	cached	cross_cutting	containerd/containerd	753249	5643	0	
2026-04-07T11:30:59Z	cached	cross_cutting	hashicorp/terraform	553421	4547	0	
2026-04-07T11:30:59Z	cached	cross_cutting	argoproj/argo-cd	537173	4503	0	
2026-04-07T11:30:59Z	cached	cross_cutting	argoproj/argo-workflows	268065	2604	0	
2026-04-07T11:30:59Z	cached	cross_cutting	prometheus/prometheus	353597	1155	0	
2026-04-07T11:30:59Z	cached	cross_cutting	grafana/grafana	3488015	19553	0	
2026-04-07T11:30:59Z	cached	cross_cutting	open-telemetry/opentelemetry-collector	146322	1762	0	
2026-04-07T11:30:59Z	cached	cross_cutting	grafana/loki	7554716	14734	0	
2026-04-07T16:31:14Z	cached	data_pipelines	minio/minio	253418	1042	0	
2026-04-07T16:31:15Z	cached	data_pipelines	apache/kafka	1199497	7021	0	
2026-04-07T16:31:15Z	cached	data_pipelines	apache/airflow	1466016	11143	0	
2026-04-07T16:31:15Z	cached	data_pipelines	apache/spark	2127481	12120	0	
2026-04-07T16:31:15Z	cached	data_pipelines	HumanSignal/label-studio	529358	4201	0	
2026-04-07T16:31:15Z	cached	data_pipelines	great-expectations/great_expectations	1184519	3368	0	
2026-04-07T16:31:15Z	cached	data_pipelines	iterative/dvc	71413	578	0	
2026-04-07T16:31:15Z	cached	data_pipelines	UKPLab/sentence-transformers	74362	535	0	
2026-04-07T16:31:15Z	cached	data_pipelines	milvus-io/milvus	1174532	4722	0	
2026-04-07T16:31:15Z	cached	training	kubeflow/pipelines	1852613	3667	0	
2026-04-07T16:31:15Z	cached	training	SchedMD/slurm	931255	2395	0	
2026-04-07T16:31:15Z	cached	training	NVIDIA/nvidia-container-toolkit	347317	2398	0	
2026-04-07T16:31:15Z	cached	training	NVIDIA/cuda-python	255441	625	0	
2026-04-07T16:31:15Z	cached	training	NVIDIA/nccl	119237	613	0	
2026-04-07T16:31:15Z	cached	training	pytorch/pytorch	3241577	11351	0	
2026-04-07T16:31:15Z	cached	training	microsoft/DeepSpeed	232327	1552	0	
2026-04-07T16:31:15Z	cached	training	NVIDIA/Megatron-LM	799360	2310	0	
2026-04-07T16:31:16Z	cached	training	huggingface/tokenizers	49435	321	0	
2026-04-07T16:31:16Z	cached	training	huggingface/datasets	79446	319	0	
2026-04-07T16:31:16Z	cached	training	huggingface/peft	263971	708	0	
2026-04-07T16:31:16Z	cached	training	huggingface/trl	90191	395	0	
2026-04-07T16:31:16Z	cached	training	EleutherAI/lm-evaluation-harness	233505	14799	0	
2026-04-07T16:31:16Z	cached	training	arcee-ai/mergekit	20005	177	0	
2026-04-07T16:31:16Z	cached	training	mlflow/mlflow	1173870	5747	0	
2026-04-07T16:31:16Z	cached	training	huggingface/huggingface_hub	102722	461	0	
2026-04-07T16:31:16Z	cached	training	huggingface/transformers	1157037	5258	0	
2026-04-07T16:31:16Z	cached	integration_serving	onnx/onnx	240211	890	0	
2026-04-07T16:31:16Z	cached	integration_serving	mit-han-lab/llm-awq	21748	131	0	
2026-04-07T16:31:16Z	cached	integration_serving	vllm-project/vllm	904487	4261	0	
2026-04-07T16:31:16Z	cached	integration_serving	NVIDIA/TensorRT-LLM	1332666	9771	0	
2026-04-07T16:31:16Z	cached	integration_serving	triton-inference-server/server	153797	862	0	
2026-04-07T16:31:16Z	cached	integration_serving	microsoft/onnxruntime	4041209	8388	0	
2026-04-07T16:31:16Z	cached	integration_serving	ray-project/ray	1402163	8912	0	
2026-04-07T16:31:17Z	cached	integration_serving	envoyproxy/envoy	1423263	9788	0	
2026-04-07T16:31:17Z	cached	integration_serving	langchain-ai/langchain	272703	2681	0	
2026-04-07T16:31:17Z	cached	integration_serving	microsoft/promptflow	2689858	3245	0	
2026-04-07T16:31:17Z	cached	integration_serving	guardrails-ai/guardrails	72157	525	0	
2026-04-07T16:31:17Z	cached	cross_cutting	kubernetes/kubernetes	4165826	21702	0	
2026-04-07T16:31:17Z	cached	cross_cutting	containerd/containerd	753249	5643	0	
2026-04-07T16:31:17Z	cached	cross_cutting	hashicorp/terraform	553421	4547	0	
2026-04-07T16:31:17Z	cached	cross_cutting	argoproj/argo-cd	537173	4503	0	
2026-04-07T16:31:17Z	cached	cross_cutting	argoproj/argo-workflows	268065	2604	0	
2026-04-07T16:31:17Z	cached	cross_cutting	prometheus/prometheus	353597	1155	0	
2026-04-07T16:31:17Z	cached	cross_cutting	grafana/grafana	3488015	19553	0	
2026-04-07T16:31:17Z	cached	cross_cutting	open-telemetry/opentelemetry-collector	146322	1762	0	
2026-04-07T16:31:17Z	cached	cross_cutting	grafana/loki	7554716	14734	0	
2026-04-07T16:31:19Z	success	cross_cutting	torvalds/linux	31568926	87131	0	
2026-04-07T16:31:19Z	success	cross_cutting	NVIDIA/open-gpu-kernel-modules	1633154	3736	0	
